Date,Departure,Destination,Airline,Price,Departure Time,Arrival Time,Stops,Duration,Flight Type
2023-12-01,Ben Gurion Intl,John F Kennedy Intl,"ITA Airways, Norse Atlantic Airways",1675,09:15,22:15,2 stops,20h 00m,Economy
2023-12-01,Ben Gurion Intl,John F Kennedy Intl,"Pegasus Airlines, Norse Atlantic Airways",1325,05:25,22:15,2 stops,23h 50m,Economy
2023-12-01,Ben Gurion Intl,John F Kennedy Intl,Royal Air Maroc,2449,07:15,17:55,1 stop,17h 40m,Economy
2023-12-01,Ben Gurion Intl,John F Kennedy Intl,EL AL,2780,00:45,05:45,nonstop,12h 00m,Economy
2023-12-01,Ben Gurion Intl,John F Kennedy Intl,"Pegasus Airlines, Norse Atlantic Airways",1649,07:20,22:15,2 stops,21h 55m,Economy
2023-12-01,Ben Gurion Intl,John F Kennedy Intl,"Vueling, Royal Air Maroc",1813,06:55,17:55,2 stops,18h 00m,Economy
2023-12-01,Ben Gurion Intl,John F Kennedy Intl,"EL AL, Norse Atlantic Airways",1857,09:00,22:15,1 stop,20h 15m,Economy
2023-12-01,Ben Gurion Intl,John F Kennedy Intl,"EL AL, Royal Air Maroc",1947,06:30,17:55,2 stops,18h 25m,Economy
2023-12-01,Ben Gurion Intl,John F Kennedy Intl,Vueling,1976,06:55,21:15,1 stop,21h 20m,Economy
2023-12-01,Ben Gurion Intl,John F Kennedy Intl,"EL AL, Azores Airlines",1984,06:30,19:55,2 stops,20h 25m,Economy
2023-12-01,Ben Gurion Intl,John F Kennedy Intl,Royal Jordanian,2047,23:30,15:55+1,1 stop,23h 25m,Economy
2023-12-01,Ben Gurion Intl,John F Kennedy Intl,TAP AIR PORTUGAL,2162,06:30,20:05,1 stop,20h 35m,Discount
2023-12-01,Ben Gurion Intl,John F Kennedy Intl,TAP AIR PORTUGAL,2221,06:30,22:34,2 stops,23h 04m,Basic
2023-12-01,Ben Gurion Intl,John F Kennedy Intl,LOT,3089,11:35,20:35,1 stop,16h 00m,Classic
2023-12-01,Ben Gurion Intl,John F Kennedy Intl,"Wizz Air Malta, Norse Atlantic UK",1630,20:55,15:50+1,2 stops,25h 55m,Discount
2023-12-01,Ben Gurion Intl,John F Kennedy Intl,"Wizz Air UK, Norse Atlantic UK",1653,21:55,15:50+1,1 stop,24h 55m,Basic
2023-12-01,Ben Gurion Intl,John F Kennedy Intl,"Pegasus Airlines, Norse Atlantic Airways",1742,05:25,22:15,3 stops,23h 50m,Classic
2023-12-01,Ben Gurion Intl,John F Kennedy Intl,"Vueling, Azores Airlines",1854,06:55,19:55,2 stops,20h 00m,Economy
2023-12-01,Ben Gurion Intl,John F Kennedy Intl,Multiple Airlines,1924,06:55,22:15,3 stops,22h 20m,Economy
2023-12-01,Ben Gurion Intl,John F Kennedy Intl,"EL AL, Norse Atlantic UK",1932,03:10,15:50,1 stop,19h 40m,Economy
2023-12-01,Ben Gurion Intl,John F Kennedy Intl,"Pegasus Airlines, Azores Airlines",1939,05:30,19:55,3 stops,21h 25m,Economy
2023-12-01,Ben Gurion Intl,John F Kennedy Intl,Multiple Airlines,1958,06:30,22:15,2 stops,22h 45m,Economy
2023-12-01,Ben Gurion Intl,John F Kennedy Intl,"EL AL, Royal Air Maroc",2043,03:30,17:55,2 stops,21h 25m,Economy
2023-12-01,Ben Gurion Intl,John F Kennedy Intl,Royal Jordanian,2043,17:45,15:55+1,1 stop,29h 10m,Economy
2023-12-01,Ben Gurion Intl,John F Kennedy Intl,"Vueling, LEVEL",2323,06:55,21:15,1 stop,21h 20m,Economy
2023-12-01,Ben Gurion Intl,John F Kennedy Intl,Emirates,2704,00:10,13:55,1 stop,20h 45m,Economy
2023-12-01,Ben Gurion Intl,John F Kennedy Intl,Emirates,2704,23:55,13:55+1,1 stop,21h 00m,Economy
2023-12-01,Ben Gurion Intl,John F Kennedy Intl,Emirates,2704,23:45,13:55+1,1 stop,21h 10m,Economy
2023-12-01,Ben Gurion Intl,John F Kennedy Intl,"EL AL, JetBlue",3108,01:00,12:59,1 stop,18h 59m,Economy
2023-12-01,Ben Gurion Intl,John F Kennedy Intl,Air Canada,3521,11:55,22:21,1 stop,17h 26m,Eco Flex
2023-12-01,Ben Gurion Intl,John F Kennedy Intl,Virgin Atlantic,3532,06:50,15:20,1 stop,15h 30m,Eco Flex
2023-12-01,Ben Gurion Intl,John F Kennedy Intl,Virgin Atlantic,3532,06:50,16:55,1 stop,17h 05m,Eco Flex
2023-12-01,Ben Gurion Intl,John F Kennedy Intl,Virgin Atlantic,3532,06:50,18:10,1 stop,18h 20m,Blue
2023-12-01,Ben Gurion Intl,John F Kennedy Intl,Turkish Airlines,3800,10:30,18:10,1 stop,14h 40m,Basic Economy
2023-12-01,Ben Gurion Intl,John F Kennedy Intl,Turkish Airlines,3800,12:20,22:00,1 stop,16h 40m,Flex
2023-12-01,Ben Gurion Intl,John F Kennedy Intl,EL AL,3801,09:05,18:45,1 stop,16h 40m,Latitude
2023-12-01,Ben Gurion Intl,John F Kennedy Intl,Delta,3891,23:40,05:25+1,nonstop,12h 45m,Economy Light
